track_id,bpm,musical_key,camelot,energy,groove,vocal,role,source,confidence
spotify-2KVAO2OAH6a9Tr2DqYL65g,126.0,F# minor,11A,0.725,afro,0.112,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/jerry-ropero-coraao-20th-anniversary-mix,0.9
spotify-4G5vEpp26cEIj9FnVYft8i,123.0,E minor,9A,0.537,techno,0.269,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/picca-mars-move-in-time,0.9
spotify-7M4GUQ0CZU5A9CO2hkadG4,128.0,C major,8B,0.621,house,0.03,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/sem-jacobs-blue-berries-extended-mix,0.9
spotify-6ms1mOmSxRvNsZ7ZcpONmC,120.0,E minor,9A,0.676,afro,0.247,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/steve-n-with-you-extended-mix,0.9
spotify-0TONQ6PLt48eBp5yzh7Of3,121.0,C minor,5A,0.529,afro,0.03,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/ucha-fuma-ya-extended,0.82
spotify-5QwJtoSfJqEPHlNCm46uex,122.0,C# major,3B,0.511,afro,0.16,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/unfazed-a-gira-extended-mix,0.9
spotify-4evs5hmj8J4cJzcMgylQzl,122.0,E major,12B,0.454,afro,0.311,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/mr-v-home-feat-mr-v-extended-mix,0.9
spotify-2NES935FgVCZnwpimrxAJ6,122.0,G minor,6A,0.631,afro,0.73,vocal,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 2NES935FgVCZnwpimrxAJ6,0.64
spotify-7nhwdbIZnJBspw1L9KDT4W,123.0,G minor,6A,0.44,afro,0.449,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 7nhwdbIZnJBspw1L9KDT4W,0.64
spotify-1B1Ww52x3r3yH6mtAuhrie,122.0,F# minor,11A,0.67,afro,0.25,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/daytona-papele-extended-mix,0.9
spotify-70cLs3sjUFOKJroS191fgw,125.0,B minor,10A,0.375,afro,0.536,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 70cLs3sjUFOKJroS191fgw,0.64
spotify-6cQZ6GKDkFDj0iGsjFfyq2,122.0,C minor,5A,0.633,afro,0.03,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/crisologo-shake,0.9
spotify-7GBhtxd4eVgA635ozUZSaj,122.0,E minor,9A,0.696,afro,0.455,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 7GBhtxd4eVgA635ozUZSaj,0.64
spotify-1nsGJGpzFoD8O3CkeU8mpj,122.0,F# major,2B,0.795,techno,0.285,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/danor-sueno,0.82
spotify-1B27a06OAQx7CS46plr5pU,125.0,F# minor,11A,0.665,afro,0.602,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 1B27a06OAQx7CS46plr5pU,0.64
spotify-7Fr8keCD6Ixkd5XCpC6EUv,122.0,E major,12B,0.554,afro,0.632,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 7Fr8keCD6Ixkd5XCpC6EUv,0.64
spotify-2a2PjEwfXJn861qHXzJQHh,117.0,F# minor,11A,0.319,afro,0.274,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 2a2PjEwfXJn861qHXzJQHh,0.64
spotify-4U8vV8j993rpMdFn4dCn29,125.0,B minor,10A,0.724,techno,0.704,vocal,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 4U8vV8j993rpMdFn4dCn29,0.64
spotify-1eitq6c6J9H8GyJYQxq6h1,120.0,D minor,7A,0.695,techno,0.407,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 1eitq6c6J9H8GyJYQxq6h1,0.64
spotify-5KhyfCzCrjGfCRKHruIUl7,120.0,G major,9B,0.543,techno,0.418,builder,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/colbora-quiver,0.9
spotify-7crWP5nmpVQunuekqftSEr,123.0,E major,12B,0.876,afro,0.128,peak,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/josef-schumacher-yapa-extended-mix,0.82
spotify-28HAfQASgRFtJiJO95P0RY,123.0,D minor,7A,0.721,afro,0.23,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/afronom-senolo-extended-mix,0.9
spotify-0OhOvavl37Rul1t8TlBMcv,123.0,A minor,8A,0.428,afro,0.31,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/mydoz-need-u-extended-mix,0.9
spotify-5BhdMEXbQirRV4QYHoz96P,126.0,B minor,10A,0.41,tech-house,0.461,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 5BhdMEXbQirRV4QYHoz96P,0.64
spotify-4OHTMdFofGPrSZJqKn4yBm,128.0,E major,12B,0.457,tech-house,0.255,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 4OHTMdFofGPrSZJqKn4yBm,0.64
spotify-6oNdUnlUnXFDsiMY6yC1ti,123.0,F# minor,11A,0.662,house,0.268,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 6oNdUnlUnXFDsiMY6yC1ti,0.64
spotify-5ARMoO6PMW5XzN00dwTYW2,120.0,F minor,4A,0.694,house,0.682,closer,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 5ARMoO6PMW5XzN00dwTYW2,0.64
spotify-28Dw5KTUvyauj8RZnc8r2N,125.0,D# major,5B,0.845,afro,0.521,peak,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 28Dw5KTUvyauj8RZnc8r2N,0.64
spotify-32Yqrfs4BwDhCmF78Y3he9,122.0,B minor,10A,0.488,afro,0.364,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 32Yqrfs4BwDhCmF78Y3he9,0.64
spotify-200DiJQhDi69nkGXOrrJgn,120.0,E minor,9A,0.357,techno,0.458,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/me-the-rapture-ptiii,0.9
spotify-2GwsSbo6IbNDVvcm9rtmal,120.0,C major,8B,0.568,afro,0.164,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/rampa-say-what-feat-chuala,0.82
spotify-093uABBO0VQxuHUgr4na2C,112.0,B minor,10A,0.579,house,0.533,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 093uABBO0VQxuHUgr4na2C,0.64
spotify-1de6YDcMK93DRCIv71DPYA,112.0,F minor,4A,0.57,house,0.502,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 1de6YDcMK93DRCIv71DPYA,0.64
spotify-4JdJb1IvZ2AacLemLGonDy,124.0,F minor,4A,0.441,house,0.044,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph same-recording: https://www.mixgraph.io/tracks/mizmo-hello-the-sun-is-up-where-are-you,0.74
spotify-72qknjLxZXE6iE6h27sIHY,125.0,F# minor,11A,0.52,house,0.095,builder,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/khalid-nobody-make-me-feel,0.9
spotify-0l7cfP9dZBrkkNkR7NXnQO,126.0,D# major,5B,0.904,tech-house,0.321,peak,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 0l7cfP9dZBrkkNkR7NXnQO ; manual conflict resolution: https://www.beatport.com/track/gimme-that-bounce/17394497 | https://www.mixgraph.io/tracks/mau-p-gimme-that-bounce,0.86
spotify-10pfamFYvg5ftwq6rGJrWx,131.0,G# major,4B,0.431,tech-house,0.278,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 10pfamFYvg5ftwq6rGJrWx,0.64
spotify-3DqOJ2BoddzZpNdty3okJH,127.0,G minor,6A,0.552,tech-house,0.303,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/ayybo-rizz-extended-mix,0.82
spotify-6KrrcOQiX7NQ4h038wKTUy,129.0,B minor,10A,0.729,tech-house,0.296,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/mau-p-neck-extended-mix,0.82
spotify-0PaZ052mHgQ1Ky2uDoa6Tr,120.0,D major,10B,0.503,afro,0.564,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 0PaZ052mHgQ1Ky2uDoa6Tr,0.64
spotify-0tlAgfYIDCcJ3qxP9nzmHE,123.0,F# minor,11A,0.331,afro,0.524,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 0tlAgfYIDCcJ3qxP9nzmHE,0.64
spotify-1WEvnyNP1MxPnMsYqFd3dk,120.0,F minor,4A,0.451,afro,0.264,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 1WEvnyNP1MxPnMsYqFd3dk,0.64
spotify-1YH2pK01IAb9S7JiKT1MPu,122.0,F# minor,11A,0.829,afro,0.591,peak,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 1YH2pK01IAb9S7JiKT1MPu,0.64
spotify-2aTHmDr4tQkdJmVPJyfmgL,117.0,B major,1B,0.728,afro,0.547,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 2aTHmDr4tQkdJmVPJyfmgL,0.64
spotify-3Bnc1jf9daAooE7dfYZkV4,117.0,C# major,3B,0.537,afro,0.436,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 3Bnc1jf9daAooE7dfYZkV4,0.64
spotify-3CGJ2KUaPOprDlKz9XgiF7,122.0,D# minor,2A,0.51,afro,0.625,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 3CGJ2KUaPOprDlKz9XgiF7,0.64
spotify-3dXrYAexwAonlygTs1cDOn,122.0,D major,10B,0.466,afro,0.594,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 3dXrYAexwAonlygTs1cDOn,0.64
spotify-6M7jWqrOtwMxycjbYXhipu,120.0,G# minor,1A,0.609,afro,0.173,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/heliograph-love-everything-you-do,0.9
spotify-7LapSXUTWUXy5r55fSi9gf,120.0,F# minor,11A,0.533,afro,0.511,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 7LapSXUTWUXy5r55fSi9gf,0.64
spotify-7uS9LjYK2CV7WGWj44tYV7,126.0,D major,10B,0.598,afro,0.621,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 7uS9LjYK2CV7WGWj44tYV7,0.64
spotify-21fAjb3K01LujY841IMbtA,123.0,C minor,5A,0.53,techno,0.05,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/enai-ira-yubik-remix,0.9
spotify-22LA2VZOMM5TEFA7yu1o9B,125.0,D minor,7A,0.906,techno,0.388,peak,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 22LA2VZOMM5TEFA7yu1o9B,0.64
spotify-30Z6Dp5Ddy6FN3xjm1XXLS,132.0,D# major,5B,0.649,techno,0.189,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/argy-dona,0.9
spotify-3s7tZDGRWJ4wL8x9na9MKE,120.0,B minor,10A,0.589,techno,0.511,bridge,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/ontonic-dream,0.82
spotify-6n9Nhx5nhAPrsnjQpL8zna,130.0,G minor,6A,0.714,techno,0.578,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 6n9Nhx5nhAPrsnjQpL8zna ; manual conflict resolution: https://www.beatport.com/track/giza/26747145 | Spotify public preview analysis,0.86
spotify-6u5uJUkN4Virf2lLxRCcve,120.0,F# major,2B,0.394,techno,0.277,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/ontonic-universe,0.82
spotify-2da0QdMmeCnZURi2Pdy2Sj,120.0,G minor,6A,0.842,afro,0.801,vocal,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 2da0QdMmeCnZURi2Pdy2Sj,0.64
spotify-2yejwvLnmVFtwrMQlaRWgP,120.0,F# major,2B,0.844,afro,0.353,peak,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/hotlap-el-dorado,0.82
spotify-5jpXBy9DB4kbuNLwGceYOy,122.0,F# major,2B,0.657,afro,0.763,vocal,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 5jpXBy9DB4kbuNLwGceYOy,0.64
spotify-0G6r9pghzSm8gGfgV64pHn,132.0,A# minor,3A,0.239,techno,0.578,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 0G6r9pghzSm8gGfgV64pHn,0.64
