track_id,spotify_id,title,artist,matched,identity_match,source_spotify_id,source_url,bpm,camelot,key_number,mode,energy,danceability,valence,instrumentalness,drive,groove,brightness,warmth,bass_weight,percussive_ratio,genres,duration_ms,search_match_type
spotify-2KVAO2OAH6a9Tr2DqYL65g,2KVAO2OAH6a9Tr2DqYL65g,CORAÇAO - 20th Anniversary Mix,"Jerry Ropero, HUGEL, Mijangos, Jesús Fernández",true,exact-id,2KVAO2OAH6a9Tr2DqYL65g,https://www.mixgraph.io/tracks/jerry-ropero-coraao-20th-anniversary-mix,126,11A,6,0,0.677516962,0.8212783,0.467230844,0.88833839,0.528763,0.854861,0.74213,0.266518,0.883269,0.425297,Afro House,312380,strong
spotify-4G5vEpp26cEIj9FnVYft8i,4G5vEpp26cEIj9FnVYft8i,Move In Time,"Moeaike, Picca & Mars",true,exact-id,4G5vEpp26cEIj9FnVYft8i,https://www.mixgraph.io/tracks/picca-mars-move-in-time,123,9A,4,0,0.61720239,0.681989313,0.46371093,0.730618675,0.507533,0.805402,0.611558,0.278364,0.887056,0.402705,Melodic House & Techno,339540,strong
spotify-7M4GUQ0CZU5A9CO2hkadG4,7M4GUQ0CZU5A9CO2hkadG4,Blue Berries,"Sem Jacobs, Tagmann",true,exact-id,7M4GUQ0CZU5A9CO2hkadG4,https://www.mixgraph.io/tracks/sem-jacobs-blue-berries-extended-mix,128,8B,0,1,0.729797132,0.78323258,0.459641235,0.99659661,0.695276,0.908791,0.808037,0.231739,0.836987,0.455098,House,377000,strong
spotify-6ms1mOmSxRvNsZ7ZcpONmC,6ms1mOmSxRvNsZ7ZcpONmC,With You,"LEWS, Steve N, Major League Djz, Untitled Audio",true,exact-id,6ms1mOmSxRvNsZ7ZcpONmC,https://www.mixgraph.io/tracks/steve-n-with-you-extended-mix,120,9A,4,0,0.64689222,0.75954848,0.408670306,0.752532499,0.51732,0.887594,0.457089,0.219603,0.928155,0.400157,Afro House,287875,strong
spotify-0TONQ6PLt48eBp5yzh7Of3,0TONQ6PLt48eBp5yzh7Of3,Fuma Ya,"Ucha, Chris Leon",true,exact-id,0TONQ6PLt48eBp5yzh7Of3,https://www.mixgraph.io/tracks/ucha-fuma-ya-extended,121,5A,0,0,0.492856383,0.834231218,0.449515086,1,0.539349,0.912176,0.55762,0.312326,0.96453,0.426464,Afro House,294496,strong
spotify-5QwJtoSfJqEPHlNCm46uex,5QwJtoSfJqEPHlNCm46uex,A Gira,unfazed,true,exact-id,5QwJtoSfJqEPHlNCm46uex,https://www.mixgraph.io/tracks/unfazed-a-gira-extended-mix,122,3B,1,1,0.553432041,0.824495435,0.495479907,0.840427976,0.490514,0.857439,0.504299,0.493059,0.863467,0.430948,Afro House,354120,strong
spotify-4evs5hmj8J4cJzcMgylQzl,4evs5hmj8J4cJzcMgylQzl,Home,"RBØR, Tayllor, CRAYA, Mr. V",true,exact-id,4evs5hmj8J4cJzcMgylQzl,https://www.mixgraph.io/tracks/mr-v-home-feat-mr-v-extended-mix,122,12B,4,1,0.549158776,0.836328606,0.496766631,0.689478067,0.563256,0.864907,0.715888,0.182892,0.912677,0.435398,Afro House,393883,strong
spotify-2NES935FgVCZnwpimrxAJ6,2NES935FgVCZnwpimrxAJ6,La Colegiala,Afro Club,false,,,,,,,,,,,,,,,,,,,,
spotify-7nhwdbIZnJBspw1L9KDT4W,7nhwdbIZnJBspw1L9KDT4W,Mamacita,Yung Omz ,false,,,,,,,,,,,,,,,,,,,,
spotify-1B1Ww52x3r3yH6mtAuhrie,1B1Ww52x3r3yH6mtAuhrie,Papele,"LEWS, Major League Djz, Daytona, Untitled Audio",true,exact-id,1B1Ww52x3r3yH6mtAuhrie,https://www.mixgraph.io/tracks/daytona-papele-extended-mix,122,11A,6,0,0.63050153,0.815665777,0.425301393,0.750325584,0.517488,0.83508,0.547412,0.356203,0.931447,0.473158,Afro House,271475,strong
