track_id,spotify_id,title,artist,duration_seconds,playlists,bpm,musical_key,camelot,energy,groove,vocal,role,key_confidence,preview_seconds,dynamic_range,harmonic_share,percussive_share,preview_url,analysis_source
spotify-2KVAO2OAH6a9Tr2DqYL65g,2KVAO2OAH6a9Tr2DqYL65g,CORAÇAO - 20th Anniversary Mix,"Jerry Ropero, HUGEL, Mijangos, Jesús Fernández",175,"Techno, Afro, Soul & EDM | Afro Vibezz",126.0,F# minor,11A,0.814,afro,0.408,peak,0.59,29.71,0.3425,0.5149,0.2221,https://p.scdn.co/mp3-preview/afaff0a96b75d82d99418843ed8ecdd7b4c673b0,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-4G5vEpp26cEIj9FnVYft8i,4G5vEpp26cEIj9FnVYft8i,Move In Time,"Moeaike, Picca & Mars",206,"Techno, Afro, Soul & EDM | Afro Vibezz",123.0,E minor,9A,0.387,afro,0.554,builder,0.585,15.62,0.1246,0.6103,0.1472,https://p.scdn.co/mp3-preview/773bf652ad1ab8cce11e8ff309a0e7c8210a4cf4,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-7M4GUQ0CZU5A9CO2hkadG4,7M4GUQ0CZU5A9CO2hkadG4,Blue Berries,"Sem Jacobs, Tagmann",170,"Techno, Afro, Soul & EDM | Afro Vibezz",128.0,C major,8B,0.42,afro,0.075,builder,0.674,29.71,0.1128,0.299,0.4155,https://p.scdn.co/mp3-preview/0638dd2d458f5b42bdc63ff545214626db96fd51,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-6ms1mOmSxRvNsZ7ZcpONmC,6ms1mOmSxRvNsZ7ZcpONmC,With You,"LEWS, Steve N, Major League Djz, Untitled Audio",164,"Techno, Afro, Soul & EDM | Afro Vibezz",120.0,E minor,9A,0.73,afro,0.448,bridge,0.614,16.0,0.1908,0.5409,0.1829,https://p.scdn.co/mp3-preview/73861602abdd1d9912720ea6f7c967abb33faa7d,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-0TONQ6PLt48eBp5yzh7Of3,0TONQ6PLt48eBp5yzh7Of3,Fuma Ya,"Ucha, Chris Leon",230,"Techno, Afro, Soul & EDM | Afro Vibezz",122.0,F minor,4A,0.596,afro,0.223,bridge,0.629,15.87,0.2114,0.3951,0.3028,https://p.scdn.co/mp3-preview/7a0da0db98a5526daa7783851ce96d4116dea49f,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-5QwJtoSfJqEPHlNCm46uex,5QwJtoSfJqEPHlNCm46uex,A Gira,unfazed,152,"Techno, Afro, Soul & EDM | Afro Vibezz",122.0,C# major,3B,0.431,afro,0.537,builder,0.605,15.74,0.0956,0.5988,0.1783,https://p.scdn.co/mp3-preview/1c9d7a2bfa6f39f8f7d9c8e2cf10592f5e12d338,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-4evs5hmj8J4cJzcMgylQzl,4evs5hmj8J4cJzcMgylQzl,Home,"RBØR, Tayllor, CRAYA, Mr. V",270,"Techno, Afro, Soul & EDM | Afro Vibezz",122.0,E major,12B,0.278,afro,0.379,opener,0.624,15.74,0.0537,0.4962,0.203,https://p.scdn.co/mp3-preview/c245c42b8c6763f7fc7219d618bc38f179d1d481,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-2NES935FgVCZnwpimrxAJ6,2NES935FgVCZnwpimrxAJ6,La Colegiala,Afro Club,279,"Techno, Afro, Soul & EDM | Afro Vibezz",122.0,G minor,6A,0.631,afro,0.73,vocal,0.595,15.72,0.1376,0.7245,0.0911,https://p.scdn.co/mp3-preview/cfd5e84c6e6eb619a36cb3994535995d058a8a15,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-7nhwdbIZnJBspw1L9KDT4W,7nhwdbIZnJBspw1L9KDT4W,Mamacita,Yung Omz ,128,"Techno, Afro, Soul & EDM | Afro Vibezz",123.0,G minor,6A,0.44,afro,0.449,builder,0.772,15.61,0.059,0.5421,0.2588,https://p.scdn.co/mp3-preview/8a49c9905e4aec3bd09cf7d8da9c5842e53fba02,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-1B1Ww52x3r3yH6mtAuhrie,1B1Ww52x3r3yH6mtAuhrie,Papele,"LEWS, Major League Djz, Daytona, Untitled Audio",146,"Techno, Afro, Soul & EDM | Afro Vibezz | Techno Vibezz",122.0,F# minor,11A,0.742,afro,0.576,bridge,0.596,15.74,0.2682,0.6241,0.1737,https://p.scdn.co/mp3-preview/3075bfd112c4c90356a3a434066321f484baba50,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-70cLs3sjUFOKJroS191fgw,70cLs3sjUFOKJroS191fgw,POR FAVOR,Marc Moon,149,"Techno, Afro, Soul & EDM | Afro Vibezz",125.0,B minor,10A,0.375,afro,0.536,builder,0.675,15.36,0.0802,0.5984,0.1694,https://p.scdn.co/mp3-preview/8691353f7c2a0c3bb28b4b99bb0a31a27ae0e28f,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-6cQZ6GKDkFDj0iGsjFfyq2,6cQZ6GKDkFDj0iGsjFfyq2,Shake,"Crisologo, ADDAM (BE)",227,"Techno, Afro, Soul & EDM | Afro Vibezz",122.0,C minor,5A,0.394,afro,0.235,builder,0.647,15.74,0.1005,0.4028,0.2261,https://p.scdn.co/mp3-preview/992918373e502c6a4ea509c47a285988f9a66522,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
