spotify_id,title,artist,playlists,identity_match,preview_bpm,source_bpm,bpm_final,bpm_agreement,preview_camelot,source_camelot,musical_key_final,camelot_final,key_agreement,energy_final,source_energy,groove_final,source_genres,vocal_final,role_final,confidence_final,evidence
2KVAO2OAH6a9Tr2DqYL65g,CORAÇAO - 20th Anniversary Mix,"Jerry Ropero, HUGEL, Mijangos, Jesús Fernández","Techno, Afro, Soul & EDM | Afro Vibezz",exact-id,126.0,126.0,126.0,true,11A,11A,F# minor,11A,true,0.725,0.677516962,afro,Afro House,0.112,lifter,0.9,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/jerry-ropero-coraao-20th-anniversary-mix
4G5vEpp26cEIj9FnVYft8i,Move In Time,"Moeaike, Picca & Mars","Techno, Afro, Soul & EDM | Afro Vibezz",exact-id,123.0,123.0,123.0,true,9A,9A,E minor,9A,true,0.537,0.61720239,techno,Melodic House & Techno,0.269,reset,0.9,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/picca-mars-move-in-time
7M4GUQ0CZU5A9CO2hkadG4,Blue Berries,"Sem Jacobs, Tagmann","Techno, Afro, Soul & EDM | Afro Vibezz",exact-id,128.0,128.0,128.0,true,8B,8B,C major,8B,true,0.621,0.729797132,house,House,0.03,reset,0.9,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/sem-jacobs-blue-berries-extended-mix
6ms1mOmSxRvNsZ7ZcpONmC,With You,"LEWS, Steve N, Major League Djz, Untitled Audio","Techno, Afro, Soul & EDM | Afro Vibezz",exact-id,120.0,120.0,120.0,true,9A,9A,E minor,9A,true,0.676,0.64689222,afro,Afro House,0.247,reset,0.9,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/steve-n-with-you-extended-mix
0TONQ6PLt48eBp5yzh7Of3,Fuma Ya,"Ucha, Chris Leon","Techno, Afro, Soul & EDM | Afro Vibezz",exact-id,122.0,121.0,121.0,true,4A,5A,C minor,5A,false,0.529,0.492856383,afro,Afro House,0.03,reset,0.82,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/ucha-fuma-ya-extended
5QwJtoSfJqEPHlNCm46uex,A Gira,unfazed,"Techno, Afro, Soul & EDM | Afro Vibezz",exact-id,122.0,122.0,122.0,true,3B,3B,C# major,3B,true,0.511,0.553432041,afro,Afro House,0.16,reset,0.9,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/unfazed-a-gira-extended-mix
4evs5hmj8J4cJzcMgylQzl,Home,"RBØR, Tayllor, CRAYA, Mr. V","Techno, Afro, Soul & EDM | Afro Vibezz",exact-id,122.0,122.0,122.0,true,12B,12B,E major,12B,true,0.454,0.549158776,afro,Afro House,0.311,opener,0.9,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/mr-v-home-feat-mr-v-extended-mix
2NES935FgVCZnwpimrxAJ6,La Colegiala,Afro Club,"Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,122.0,,122.0,false,6A,,G minor,6A,false,0.631,,afro,,0.73,vocal,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 2NES935FgVCZnwpimrxAJ6
7nhwdbIZnJBspw1L9KDT4W,Mamacita,Yung Omz ,"Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,123.0,,123.0,false,6A,,G minor,6A,false,0.44,,afro,,0.449,opener,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 7nhwdbIZnJBspw1L9KDT4W
1B1Ww52x3r3yH6mtAuhrie,Papele,"LEWS, Major League Djz, Daytona, Untitled Audio","Techno, Afro, Soul & EDM | Afro Vibezz | Techno Vibezz",exact-id,122.0,122.0,122.0,true,11A,11A,F# minor,11A,true,0.67,0.63050153,afro,Afro House,0.25,reset,0.9,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/daytona-papele-extended-mix
70cLs3sjUFOKJroS191fgw,POR FAVOR,Marc Moon,"Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,125.0,,125.0,false,10A,,B minor,10A,false,0.375,,afro,,0.536,opener,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 70cLs3sjUFOKJroS191fgw
6cQZ6GKDkFDj0iGsjFfyq2,Shake,"Crisologo, ADDAM (BE)","Techno, Afro, Soul & EDM | Afro Vibezz",exact-id,122.0,122.0,122.0,true,5A,5A,C minor,5A,true,0.633,0.761354071,afro,Afro House,0.03,reset,0.9,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/crisologo-shake
7GBhtxd4eVgA635ozUZSaj,Smile,Lucca Saettone,"Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,122.0,,122.0,false,9A,,E minor,9A,false,0.696,,afro,,0.455,reset,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 7GBhtxd4eVgA635ozUZSaj
1nsGJGpzFoD8O3CkeU8mpj,Sueño,DANOR,"Techno, Afro, Soul & EDM | Afro Vibezz",exact-id,122.0,122.0,122.0,true,11A,2B,F# major,2B,false,0.795,0.776921823,techno,Melodic House & Techno,0.285,lifter,0.82,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/danor-sueno
1B27a06OAQx7CS46plr5pU,Toca Toca,"Sistek, Morry, Fly Project","Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,125.0,,125.0,false,11A,,F# minor,11A,false,0.665,,afro,,0.602,reset,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 1B27a06OAQx7CS46plr5pU
7Fr8keCD6Ixkd5XCpC6EUv,Yo Te Sigo,Daww,"Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,122.0,,122.0,false,12B,,E major,12B,false,0.554,,afro,,0.632,reset,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 7Fr8keCD6Ixkd5XCpC6EUv
2a2PjEwfXJn861qHXzJQHh,Ze Roberto,Moojo,"Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,117.0,,117.0,false,11A,,F# minor,11A,false,0.319,,afro,,0.274,opener,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 2a2PjEwfXJn861qHXzJQHh
4U8vV8j993rpMdFn4dCn29,Sinnerman - 2022 Original Version,Siwell,"Techno, Afro, Soul & EDM | Techno Vibezz",preview-only,125.0,,125.0,false,10A,,B minor,10A,false,0.724,,techno,,0.704,vocal,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 4U8vV8j993rpMdFn4dCn29
1eitq6c6J9H8GyJYQxq6h1,Close To Me,"DAMIANO, Adrian Saguna","Techno, Afro, Soul & EDM | Techno Vibezz",preview-only,120.0,,120.0,false,7A,,D minor,7A,false,0.695,,techno,,0.407,reset,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 1eitq6c6J9H8GyJYQxq6h1
